"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LINC01661",-0.0532940954343393,0.0177646984781131,-1.29855281057208,0.27574659921358,0.632951392072483,-7.71880266955323
"OR4F21",-0.0531970266963284,0.0177323422321095,-1.29855229791353,0.275746755902749,0.632951392072483,-7.71880324468921
"SPRR2F",0.0528868771293594,0.0176289590431198,1.29855064093321,0.275747262343504,0.632951392072483,-7.71880510360429
"LINC02935",0.0528700858843654,0.0176233619614551,1.29855055039282,0.275747290016366,0.632951392072483,-7.71880520517874
"LOC101928196",-0.0527931069713498,0.0175977023237833,-1.29855013420713,0.275747417219845,0.632951392072483,-7.71880567208448
"OR2V1",-0.0527931069713498,0.0175977023237833,-1.29855013420713,0.275747417219845,0.632951392072483,-7.71880567208448
"OR2V2",-0.0527931069713498,0.0175977023237833,-1.29855013420713,0.275747417219845,0.632951392072483,-7.71880567208448
"S100A3",-0.0527588332458067,0.0175862777486022,-1.29854994832034,0.275747474034521,0.632951392072483,-7.71880588062506
"OR52B2",0.052547729998253,0.0175159099994177,1.29854879535246,0.27574782642935,0.632951392072483,-7.71880717410345
"RNY5",-0.446306333593811,0.440032995773605,-1.29854722748495,0.275748305635455,0.632951392072483,-7.71880893304406
"GZMK",-0.0521638996667962,0.0173879665555988,-1.29854666304572,0.275748478151978,0.632951392072483,-7.71880956627028
"LOC105369527",0.0519053178681107,0.0173017726227036,1.29854519979712,0.275748925383198,0.632951392072483,-7.7188112078414
"LOC642929",0.0518572931262793,0.0172857643754264,1.29854492562497,0.275749009181992,0.632951392072483,-7.71881151542617
"OR5K4",-0.0518248864664247,0.0172749621554749,-1.29854474018533,0.275749065860329,0.632951392072483,-7.71881172346483
"LOC101930091",0.0517337715664724,0.0172445905221575,1.29854421693315,0.275749225788788,0.632951392072483,-7.71881231048424
"LINC00374",0.0516614748024793,0.0172204916008264,1.29854379977829,0.275749353289391,0.632951392072483,-7.71881277847651
"LOC105370190",-0.0514729096886345,0.0171576365628782,-1.29854270346977,0.275749688369071,0.632951392072483,-7.71881400838862
"LOC107983969",0.051348903687305,0.0171163012291017,1.29854197591406,0.275749910742045,0.632951392072483,-7.71881482460901
"LINC02033",-0.0513399404683111,0.017113313489437,-1.2985419231216,0.275749926877746,0.632951392072483,-7.71881488383509
"LOC105376096",0.0510937925145858,0.0170312641715286,1.29854046246152,0.27575037332018,0.632951392072483,-7.71881652250024
"LINC02998",-0.0510244303874426,0.0170081434624809,-1.29854004703996,0.275750500291547,0.632951392072483,-7.71881698854753
"TBX2-AS1",-0.0510244303874426,0.0170081434624809,-1.29854004703996,0.275750500291547,0.632951392072483,-7.71881698854753
"LOC729254",-0.0509179785388649,0.016972659512955,-1.29853940617736,0.275750696167871,0.632951392072483,-7.71881770750934
"LOC107984184",0.05088613123172,0.0169620437439067,1.29853921366798,0.275750755007391,0.632951392072483,-7.71881792347899
"LOC101928080",0.0507586685903703,0.0169195561967901,1.29853843955683,0.275750991610685,0.632951392072483,-7.71881879192759
"LOC105378601",-0.0507586685903703,0.0169195561967901,-1.29853843955683,0.275750991610685,0.632951392072483,-7.71881879192759
"LOC105377803",0.106129088000575,0.106028635055234,1.29853791582723,0.275751151686195,0.632951392072483,-7.71881937948166
"LINC02634",-0.050635938429474,0.016878646143158,-1.29853768865738,0.275751221119629,0.632951392072483,-7.71881963433561
"LOC107984170",0.0505383505249276,0.0168461168416425,1.29853708767822,0.275751404806272,0.632951392072483,-7.71882030855316
"LOC105372157",0.0502184666660903,0.0167394888886968,1.29853509310696,0.275752014439108,0.632951392072483,-7.71882254619227
"LINC00462",0.0499866661471058,0.0166622220490353,1.29853362377743,0.275752463534754,0.632951392072483,-7.71882419458049
"CSF2",-0.0499687152824464,0.0166562384274821,-1.29853350913745,0.275752498574112,0.632951392072483,-7.71882432319096
"LOC101929863",-0.0498631548174842,0.0166210516058281,-1.29853283248834,0.275752705389919,0.632951392072483,-7.71882508229915
"LOC100131289",0.0497519899179027,0.0165839966393009,1.29853211525443,0.275752924610525,0.632951392072483,-7.71882588693782
"LOC107986751",0.0495535643460302,0.0165178547820101,1.29853082300113,0.275753319584695,0.632951392072483,-7.71882733666948
"LINC01098",0.0494941843644531,0.0164980614548177,1.29853043326304,0.275753438707337,0.632951392072483,-7.71882777390229
"LOC105375670",0.0494502824415915,0.0164834274805305,1.29853014421159,0.275753527055347,0.632951392072483,-7.71882809817842
"LINC01704",0.0493941032719892,0.0164647010906631,1.29852977320193,0.275753640453767,0.632951392072483,-7.71882851440042
"PRSS44P",0.0493941032719892,0.0164647010906631,1.29852977320193,0.275753640453767,0.632951392072483,-7.71882851440042
"LOC101928350",0.0493279528546775,0.0164426509515592,1.29852933471602,0.275753774476238,0.632951392072483,-7.71882900632146
"LINC02620",-0.0492573102644915,0.0164191034214972,-1.29852886450171,0.275753918196514,0.632951392072483,-7.71882953383736
"TAS2R40",0.0491697956216555,0.0163899318738852,1.29852827917072,0.275754097102131,0.632951392072483,-7.71883019049827
"LOC105379461",-0.0491569159410213,0.0163856386470071,-1.29852819276261,0.27575412351266,0.632951392072483,-7.71883028743628
"LY6G6F",-0.0488262765600618,0.0162754255200206,-1.29852595108859,0.275754808678418,0.632951392072483,-7.71883280228546
"PDE11A-AS1",0.0488160896006874,0.0162720298668958,1.29852588129889,0.275754830009606,0.632951392072483,-7.71883288057984
"LOC105375589",-0.048635229023051,0.0162117430076837,-1.29852463493554,0.27575521096028,0.632951392072483,-7.71883427882703
"LOC105370627",0.048584199128285,0.0161947330427617,1.29852428075406,0.275755319215866,0.632951392072483,-7.71883467616955
"LOC107983985",-0.048584199128285,0.0161947330427617,-1.29852428075406,0.275755319215866,0.632951392072483,-7.71883467616955
"CAVIN3",-0.048584199128285,0.0161947330427617,-1.29852428075406,0.275755319215866,0.632951392072483,-7.71883467616955
"LOC105375386",0.0484601002424136,0.0161533667474712,1.29852341475239,0.275755583909496,0.632951392072483,-7.71883564770321
"LOC107984553",0.0484106237038307,0.0161368745679436,1.29852306763146,0.275755690007169,0.632951392072483,-7.71883603712466
"LINC02380",-0.048236340038567,0.0160787800128557,-1.29852183636237,0.275756066345469,0.632951392072483,-7.71883741843717
"LOC101927727",-0.0481593496136289,0.0160531165378763,-1.29852128818431,0.275756233896661,0.632951392072483,-7.71883803341649
"LOC107986091",0.0481217902232562,0.0160405967410854,1.29852101980329,0.275756315927637,0.632951392072483,-7.71883833450254
"GARIN5B",0.0480745085743879,0.0160248361914626,1.29852068105724,0.275756419465802,0.632951392072483,-7.7188387145283
"CYLC1",0.0480418545291809,0.016013951509727,1.29852044652567,0.275756491150702,0.632951392072483,-7.71883897763995
"LOC107984904",-0.048032308064909,0.0160107693549697,-1.29852037786962,0.275756512135521,0.632951392072483,-7.71883905466243
"LOC105376428",-0.0479934319021505,0.0159978106340502,-1.29852009785775,0.275756597721566,0.632951392072483,-7.71883936879659
"LINC02341",-0.0479096392525982,0.0159698797508661,-1.29851949200862,0.275756782900349,0.632951392072483,-7.71884004847451
"LOC440895",0.0478495629887501,0.0159498543295834,1.29851905567707,0.275756916265884,0.632951392072483,-7.71884053797737
"LOC101927057",-0.0478168986403405,0.0159389662134468,-1.29851881774688,0.275756988989708,0.632951392072483,-7.71884080490168
"LOC105378372",0.0477393329645899,0.0159131109881967,1.29851825079357,0.275757162280164,0.632951392072483,-7.71884144094372
"LOC105370450",0.0476458984290518,0.0158819661430173,1.29851756417048,0.275757372148085,0.632951392072483,-7.71884221123835
"LINC01116",-0.0476319070317878,0.0158773023439293,-1.29851746100391,0.2757574036812,0.632951392072483,-7.71884232697674
"CD3D",0.0475987039479561,0.0158662346493187,1.29851721581445,0.275757478623968,0.632951392072483,-7.71884260204482
"LOC112267907",0.0475987039479561,0.0158662346493187,1.29851721581445,0.275757478623968,0.632951392072483,-7.71884260204482
"LINP1",-0.0475958849535166,0.0158652949845055,-1.29851719497384,0.275757484993951,0.632951392072483,-7.71884262542504
"LOC101928269",-0.0475958849535166,0.0158652949845055,-1.29851719497384,0.275757484993951,0.632951392072483,-7.71884262542504
"LOC107986742",0.0475417969247133,0.0158472656415711,1.29851679438728,0.275757607434277,0.632951392072483,-7.71884307482677
"LINC01989",0.0475417969247133,0.0158472656415711,1.29851679438728,0.275757607434277,0.632951392072483,-7.71884307482677
"TAAR3P",0.0475006041512377,0.0158335347170792,1.29851648838739,0.27575770096398,0.632951392072483,-7.71884341811554
"LOC105374263",0.0473723592506867,0.0157907864168956,1.298515530607,0.275757993712376,0.632951392072483,-7.71884449261003
"LOC105376241",-0.0473420537327029,0.0157806845775676,-1.29851530313673,0.275758063239379,0.632951392072483,-7.71884474779954
"LOC107985726",0.0470452272072747,0.0156817424024249,1.29851305190251,0.275758751337159,0.632951392072483,-7.71884727336558
"MIR4659A",0.454729806541683,0.450294351057797,1.29851288499628,0.275758802352714,0.632951392072483,-7.71884746061068
"MAPT-AS1",-0.0470159249492252,0.0156719749830751,-1.29851282734951,0.275758819972681,0.632951392072483,-7.71884752528217
"LOC107986633",-0.0468808853342614,0.0156269617780871,-1.29851178704998,0.275759137944616,0.632951392072483,-7.71884869235039
"LOC107984964",0.046562036999702,0.0155206789999007,1.29850929474497,0.275759899729654,0.632951392072483,-7.71885148836111
"LOC105374907",0.0465101517527928,0.0155033839175976,1.29850888432444,0.275760025176872,0.632951392072483,-7.71885194879423
"LOC105376936",-0.0465101517527928,0.0155033839175976,-1.29850888432444,0.275760025176872,0.632951392072483,-7.71885194879423
"LOC105372151",0.046479761099162,0.0154932536997207,1.29850864329117,0.275760098849999,0.632951392072483,-7.71885221919905
"MC3R",-0.0464409504736261,0.015480316824542,-1.29850833478965,0.275760193145194,0.632951392072483,-7.71885256529358
"KCNQ1-AS1",-0.0463884804296749,0.0154628268098916,-1.29850791647952,0.275760321004047,0.632951392072483,-7.71885303457758
"XXYLT1-AS2",-0.0463207684824138,0.0154402561608046,-1.29850737455371,0.275760486646821,0.632951392072483,-7.71885364254059
"LINC01584",-0.046223808132278,0.0154079360440927,-1.2985065943917,0.275760725108053,0.632951392072483,-7.71885451777029
"DUXB",0.0461618853217294,0.0153872951072431,1.29850609357496,0.275760878185822,0.632951392072483,-7.71885507961462
"SMAD1-AS2",0.0460497561900713,0.0153499187300238,1.2985051815563,0.275761156950256,0.632951392072483,-7.71885610276819
"LOC105373908",-0.0459195526847823,0.0153065175615941,-1.29850411413493,0.275761483214902,0.632951392072483,-7.71885730026091
"H2BW1",0.0457218169756993,0.0152406056585664,1.29850247560897,0.27576198404233,0.632951392072483,-7.71885913844989
"MIR661",0.422049300015353,0.419989630112755,1.2985023890445,0.275762010501418,0.632951392072483,-7.71885923556267
"KCNC4-DT",0.0456248764842819,0.0152082921614273,1.29850166452585,0.275762231956152,0.632951392072483,-7.71886004836748
"TRGV10",-0.131623917628638,0.130905158988045,-1.2985007312102,0.275762517231573,0.632951392072483,-7.71886109541201
"LINC01914",0.0455000833066602,0.0151666944355534,1.29850061276464,0.275762553435427,0.632951392072483,-7.71886122829069
"KRTAP5-3",0.0454465052339022,0.0151488350779674,1.29850015854687,0.27576269227086,0.632951392072483,-7.71886173785691
